id,numero,rep,nom_voie,code_postal,nom_commune
40002_0033_00002,2,,Pl du Capitaine Raymond de Peich,40330,Amou
40002_0024_00173,173,,Route de France,40330,Amou
40002_0024_00413,413,,Route de France,40330,Amou
40002_0028_00154_b,154,b,Avenue de la Gare,40330,Amou
40002_0052_00112,112,,Rue Panecau,40330,Amou
40002_0058_00384,384,,Chemin de Larribaou,40330,Amou
40002_0004_00480,480,,Avenue du Béarn,40330,Amou
40002_0071_01878,1878,,Chemin Mousquero Arnaudet,40330,Amou
40002_0085_00338,338,,Chemin de Piraout,40330,Amou
40002_0049_00299_a,299,a,Avenue de l'Océan,40330,Amou
40002_0111_00164,164,,Allée des Capucines,40330,Amou
40002_0046_00172,172,,Rue Moncade,40330,Amou
40002_0009_00022,22,,Rue de la Bourgade,40330,Amou
40002_0034_00945,945,,Chemin de Carrière,40330,Amou
40002_0083_00470,470,,Chemin de Peyroun,40330,Amou
40002_0023_00083,83,,Rue des Fleurs,40330,Amou
40002_0056_00116,116,,Chemin de Lagréoula,40330,Amou
40002_0046_00157,157,,Rue Moncade,40330,Amou
40002_0020_00057,57,,Rue des Ecoles,40330,Amou
40002_0052_00149_b,149,b,Rue Panecau,40330,Amou
40002_0047_00162,162,,Rue des Tourterelles,40330,Amou
40002_0033_00030_a,30,a,Pl du Capitaine Raymond de Peich,40330,Amou
40002_0049_00082_bis,82,bis,Avenue de l'Océan,40330,Amou
40002_0004_00479,479,,Avenue du Béarn,40330,Amou
40002_0029_00109,109,,Route de Bonnegarde,40330,Amou
40002_0061_00151,151,,Rue Saint- Pierre,40330,Amou
40002_0061_00028,28,,Rue Saint- Pierre,40330,Amou
40002_0054_00682,682,,Avenue des Pyrénées,40330,Amou
40002_0119_00031_a,31,a,Allée des Eglantines,40330,Amou
40002_0006_00078,78,,Avenue d'Aquitaine,40330,Amou
40002_0023_00083_bis,83,bis,Rue des Fleurs,40330,Amou
40002_0023_00013,13,,Rue des Fleurs,40330,Amou
40002_0004_00036,36,,Avenue du Béarn,40330,Amou
40002_0009_00051,51,,Rue de la Bourgade,40330,Amou
40002_0053_00032,32,,Place de la Poste,40330,Amou
40002_0052_00182,182,,Rue Panecau,40330,Amou
40002_0150_00097,97,,Rue de la Técouère,40330,Amou
40002_0005_00612,612,,Chemin d'Andriou,40330,Amou
40002_0080_02101,2101,,Chemin de Pebarthe,40330,Amou
40002_0111_00179,179,,Allée des Capucines,40330,Amou
40002_0001_00121,121,,Rue des Acacias,40330,Amou
40002_0016_00105,105,,Chemin de Ronde,40330,Amou
40002_0135_00066,66,,Rue du Moulin,40330,Amou
40002_0016_00170,170,,Chemin de Ronde,40330,Amou
40002_0029_00215,215,,Route de Bonnegarde,40330,Amou
40002_0042_00506,506,,Chemin de Gastoun,40330,Amou
